scene_id,object_count,front_object_count,vulnerable_count,vehicle_count,close_object_count,occluded_count,truncated_count,min_distance_m,mean_distance_m,min_lateral_abs_m,max_bbox_area_norm,mean_occlusion,mean_truncation,camera_quality_proxy,lidar_geometry_quality_proxy,uncertainty_proxy,risk_prior,max_abs_alpha,critical_scene,split
000000,1,1,1,0,1,0,0,8.609,8.609,1.84,0.034818,0.0,0.0,1.0,0.954,0.021,0.738,0.2,1,train
000001,3,1,1,2,0,1,0,46.069,58.764,0.47,0.00214,0.333,0.0,0.65,0.506,0.415,0.5,1.85,0,validation
000002,2,2,0,1,1,0,0,9.14,21.833,3.18,0.065737,0.0,0.0,1.0,0.952,0.022,0.451,1.82,0,train
000003,1,1,0,1,1,0,0,13.258,13.258,1.0,0.025003,0.0,0.0,1.0,0.93,0.032,0.606,1.55,0,train
000004,2,0,0,2,0,0,0,41.36,47.47,15.71,0.004224,0.0,0.0,1.0,0.781,0.099,0.304,1.96,0,train
000005,1,0,1,0,0,0,0,24.539,24.539,8.5,0.00395,0.0,0.0,1.0,0.87,0.058,0.556,1.94,0,train
000006,4,2,0,4,0,1,0,23.369,35.994,2.61,0.023395,0.25,0.0,0.767,0.71,0.259,0.424,2.05,0,train
000007,4,1,1,3,0,0,0,25.02,42.551,0.69,0.005579,0.0,0.0,1.0,0.868,0.06,0.542,1.89,0,test
000008,6,3,0,6,3,2,1,4.564,14.982,1.07,0.15689,0.444,0.203,0.078,0.726,0.63,0.737,2.04,1,test
000009,3,3,0,3,1,1,0,23.89,52.849,0.24,0.006447,0.222,0.0,0.767,0.707,0.26,0.549,1.78,0,train
000010,9,3,1,8,2,3,1,6.831,23.313,0.38,0.093605,0.296,0.089,0.247,0.797,0.506,0.607,2.09,0,train
000011,6,1,4,2,0,1,1,6.578,18.921,2.2,0.028941,0.167,0.163,0.13,0.799,0.569,0.677,2.42,1,train
000012,2,0,0,2,0,0,0,59.083,62.697,5.35,0.002107,0.0,0.0,1.0,0.687,0.141,0.28,1.84,0,train
000013,1,1,0,1,1,0,0,20.377,20.377,3.16,0.009735,0.0,0.0,1.0,0.892,0.049,0.46,1.74,0,train
000014,1,1,0,1,0,0,0,59.865,59.865,2.57,0.001106,0.0,0.0,1.0,0.683,0.143,0.323,1.73,0,train
000015,5,4,4,1,4,0,1,4.937,17.194,1.79,0.158761,0.067,0.178,0.305,0.891,0.432,0.687,2.29,1,train
000016,6,1,0,6,0,3,1,7.076,41.888,0.75,0.149621,0.333,0.083,0.442,0.796,0.399,0.573,2.11,0,test
000017,1,0,0,1,0,0,0,48.149,48.149,9.71,0.003566,0.0,0.0,1.0,0.745,0.115,0.28,2.23,0,train
000018,3,1,0,3,0,1,0,47.131,52.019,1.42,0.008759,0.222,0.0,0.767,0.584,0.316,0.375,1.68,0,train
000019,4,3,0,4,2,0,1,6.314,27.894,2.42,0.341069,0.083,0.185,0.402,0.883,0.381,0.639,2.07,1,test
000020,1,1,0,1,1,0,0,15.811,15.811,2.69,0.019721,0.0,0.0,1.0,0.916,0.038,0.512,1.77,0,train
000021,8,5,1,7,3,2,1,4.174,22.161,1.14,0.072825,0.292,0.111,0.188,0.811,0.531,0.798,2.22,1,train
000022,2,0,0,2,0,0,0,37.016,37.704,19.08,0.008558,0.333,0.0,0.883,0.721,0.19,0.36,1.11,0,validation
000023,3,1,1,2,0,1,0,44.994,57.268,0.42,0.002151,0.333,0.0,0.65,0.512,0.412,0.5,1.86,0,train
000024,3,1,0,3,0,0,0,36.535,42.935,3.47,0.003406,0.111,0.0,0.883,0.723,0.189,0.338,1.73,0,test
000025,6,4,1,5,2,2,1,3.97,21.68,0.78,0.115393,0.389,0.157,0.039,0.729,0.651,0.758,2.1,1,train
000026,2,1,0,2,0,0,0,37.354,52.912,3.16,0.008582,0.167,0.0,0.883,0.719,0.191,0.373,1.8,0,train
000027,2,1,0,2,0,1,0,14.867,44.168,1.15,0.126311,0.5,0.0,0.65,0.671,0.34,0.561,2.06,0,train
000028,1,0,1,0,0,0,0,9.963,9.963,5.18,0.019079,0.0,0.0,1.0,0.947,0.024,0.654,2.45,0,train
000029,2,2,0,1,1,0,0,23.447,32.56,3.03,0.005879,0.0,0.0,1.0,0.876,0.056,0.365,1.8,0,train
000030,1,1,0,1,0,0,0,41.952,41.952,2.08,0.001632,0.0,0.0,1.0,0.778,0.1,0.365,1.58,0,test
000031,6,6,0,6,4,1,0,9.038,22.687,1.75,0.084031,0.167,0.0,0.767,0.785,0.225,0.544,1.93,1,train
000032,10,4,0,10,3,4,0,9.138,24.98,1.03,0.085856,0.333,0.0,0.767,0.785,0.225,0.538,2.65,1,validation
000033,2,1,0,2,0,1,0,12.381,38.436,1.64,0.066788,0.5,0.115,0.5,0.684,0.417,0.596,2.17,0,train
000034,2,0,0,2,0,0,0,16.303,32.983,7.84,0.054501,0.167,0.0,0.883,0.83,0.141,0.471,2.99,0,train
000035,5,3,2,3,2,1,0,16.562,27.965,0.65,0.018637,0.2,0.0,0.767,0.746,0.243,0.62,2.46,1,train
000036,7,1,0,7,1,2,2,6.089,32.953,0.11,0.040551,0.333,0.194,0.02,0.718,0.666,0.697,2.67,1,train
000037,3,2,0,3,2,1,1,10.874,18.347,0.45,0.390636,0.222,0.307,0.169,0.776,0.558,0.59,1.57,0,test
000038,12,1,0,12,0,2,0,7.996,34.301,0.12,0.159893,0.278,0.01,0.689,0.791,0.265,0.546,1.9,0,train
000039,6,6,0,6,2,2,0,7.662,31.074,2.47,0.136478,0.278,0.033,0.637,0.793,0.293,0.581,1.9,1,train
000040,2,0,1,1,0,0,0,35.807,39.468,5.15,0.002866,0.0,0.0,1.0,0.81,0.085,0.432,1.68,0,train
000041,1,0,0,1,0,0,0,42.48,42.48,7.84,0.004024,0.333,0.0,0.883,0.692,0.203,0.323,2.96,0,validation
000042,2,1,0,2,0,0,0,44.506,71.222,1.21,0.004385,0.167,0.0,0.883,0.681,0.208,0.388,1.71,0,train
000043,4,4,4,0,4,0,0,12.632,16.651,2.2,0.006761,0.0,0.0,1.0,0.933,0.03,0.694,1.73,1,train
000044,2,2,0,2,2,0,1,6.16,10.216,3.11,0.133848,0.0,0.35,0.545,0.967,0.265,0.605,2.11,1,train
000045,7,0,0,7,0,1,0,17.648,38.901,7.16,0.036175,0.19,0.0,0.767,0.74,0.245,0.462,2.12,0,validation
000046,6,6,0,6,2,2,0,8.161,26.159,0.26,0.151977,0.278,0.003,0.754,0.79,0.23,0.556,1.89,1,train
000047,9,1,0,9,0,1,1,13.103,26.604,0.38,0.057219,0.222,0.052,0.487,0.764,0.388,0.546,1.57,0,train
000048,4,4,4,0,3,0,0,16.576,20.264,0.42,0.005285,0.0,0.0,1.0,0.912,0.039,0.697,1.73,1,train
000049,18,3,2,16,2,12,1,5.464,23.905,0.45,0.077047,0.593,0.041,0.403,0.721,0.454,0.82,2.28,1,test
000050,5,4,0,5,3,1,1,3.539,25.351,2.22,0.152106,0.2,0.198,0.123,0.815,0.566,0.703,2.37,1,test
000051,2,0,1,1,0,0,0,19.12,29.704,6.5,0.0079,0.0,0.0,1.0,0.899,0.046,0.593,1.91,0,validation
000052,6,2,0,6,2,0,0,12.204,29.25,1.43,0.079016,0.111,0.0,0.883,0.852,0.131,0.573,2.9,0,train
000053,7,6,0,7,3,1,1,4.25,20.823,2.76,0.301746,0.143,0.143,0.117,0.811,0.571,0.653,2.32,1,validation
000054,1,1,1,0,1,0,0,8.096,8.096,2.17,0.027012,0.0,0.0,1.0,0.957,0.019,0.727,2.83,1,train
000055,5,1,0,5,0,0,0,34.15,43.8,0.18,0.014057,0.267,0.0,0.883,0.736,0.183,0.504,2.24,0,test
000056,1,0,0,1,0,0,0,48.675,48.675,3.62,0.001593,0.0,0.0,1.0,0.742,0.116,0.28,1.67,0,test
000057,3,3,0,3,1,0,1,3.468,36.743,2.93,0.064142,0.0,0.333,0.35,0.982,0.366,0.66,2.55,1,train
