scene_id,error_type,score,min_distance_m,vulnerable_count,occluded_count,truncated_count,risk_prior
000037,FP,0.825778,10.874,0,1,1,0.59
000147,FN,0.163414,15.107,1,1,0,0.596
000243,FP,0.869779,15.969,0,1,1,0.609
000249,FN,0.168456,8.347,0,2,1,0.58
000435,FN,0.157624,11.271,1,2,0,0.583
000439,FP,0.359672,4.562,0,4,1,0.63
000455,FP,0.834584,10.665,0,4,0,0.533
000632,FP,0.395049,5.106,2,3,1,0.645
000638,FP,0.513686,6.667,4,5,2,0.654
000682,FP,0.669881,6.327,0,1,1,0.678
000876,FP,0.489509,14.217,0,1,1,0.587
000963,FP,0.647849,13.404,0,0,0,0.555
000981,FN,0.062866,17.715,0,3,0,0.587
000985,FP,0.404335,8.162,0,3,0,0.536
001018,FN,0.277058,11.547,0,0,0,0.535
001056,FP,0.389342,10.278,0,0,0,0.526
001074,FN,0.252159,11.239,0,0,0,0.52
001488,FN,0.206467,13.937,1,1,0,0.604
001514,FN,0.212018,7.07,0,4,3,0.638
001691,FN,0.184294,9.463,0,1,0,0.527
001733,FP,0.820603,12.374,2,0,0,0.535
001773,FP,0.633236,4.891,0,2,4,0.65
001788,FP,0.901522,6.868,3,1,2,0.749
001897,FP,0.571031,8.323,1,2,1,0.631
002060,FP,0.893009,10.3,0,4,1,0.646
002128,FP,0.357865,7.462,1,0,1,0.63
002263,FP,0.435695,3.922,0,1,1,0.634
002295,FN,0.318627,8.947,0,3,1,0.574
002350,FP,0.728519,11.984,0,0,1,0.57
002416,FP,0.734321,6.746,1,1,3,0.602
002535,FP,0.375475,4.334,1,2,1,0.631
002561,FP,0.752774,12.022,0,0,0,0.501
002591,FN,0.282223,14.449,0,1,0,0.506
002674,FN,0.180129,10.889,0,5,0,0.548
002726,FN,0.065757,16.603,0,3,0,0.586
002763,FP,0.363754,9.181,1,0,0,0.659
002832,FN,0.303708,6.815,0,3,2,0.657
002947,FN,0.190531,4.32,0,4,3,0.643
003062,FP,0.44564,4.312,0,1,1,0.631
003124,FN,0.122507,8.567,1,1,1,0.616
003362,FP,0.596969,6.721,0,0,1,0.615
003399,FN,0.03616,17.362,0,3,0,0.51
003452,FN,0.079818,10.733,0,1,0,0.512
003475,FN,0.221936,11.418,0,0,0,0.508
003485,FP,0.487314,8.839,0,0,1,0.6
003566,FN,0.336606,6.393,0,2,1,0.691
003717,FN,0.284427,5.75,0,3,1,0.615
003812,FN,0.069915,9.752,0,1,2,0.562
003930,FP,0.787957,10.553,0,5,0,0.57
003975,FN,0.277513,9.424,0,6,0,0.587
004078,FN,0.151397,7.576,0,3,0,0.545
004119,FN,0.00381,24.811,1,1,0,0.556
004130,FP,0.528644,7.785,0,0,0,0.554
004387,FP,0.706734,5.959,0,8,1,0.694
004473,FN,0.318211,11.632,0,0,0,0.527
004542,FP,0.554306,9.809,1,1,1,0.604
004551,FP,0.648066,7.119,3,1,1,0.6
004592,FP,0.599264,13.465,0,1,0,0.584
004704,FP,0.863095,16.117,13,6,0,0.646
004851,FP,0.795563,7.784,0,5,1,0.608
004856,FP,0.49205,15.094,0,1,0,0.609
004966,FN,0.265336,11.644,0,0,0,0.573
005019,FN,0.048909,11.133,0,2,1,0.534
005091,FP,0.483233,7.672,0,0,0,0.554
005134,FP,0.645764,6.452,0,7,2,0.686
005162,FP,0.507793,10.664,1,11,1,0.631
005270,FN,0.040178,17.992,1,0,0,0.58
005354,FP,0.857683,9.24,0,6,1,0.601
005423,FN,0.156693,10.271,0,1,0,0.521
005507,FP,0.684547,6.646,0,0,1,0.581
005516,FN,0.270444,5.735,0,6,1,0.641
005521,FP,0.523858,7.236,0,0,1,0.612
005537,FP,0.963529,6.362,0,2,1,0.604
005609,FP,0.525701,8.446,0,10,0,0.624
005762,FP,0.386328,9.964,1,9,1,0.556
005836,FP,0.372674,16.143,2,0,0,0.635
005884,FP,0.471143,9.43,0,0,1,0.579
006044,FP,0.382856,6.19,0,1,1,0.603
006119,FP,0.459239,11.26,0,0,1,0.589
006180,FP,0.731603,7.327,0,7,2,0.62
006183,FP,0.570267,6.596,0,0,1,0.589
006273,FP,0.521749,11.465,1,1,0,0.578
006292,FP,0.352555,9.488,1,0,0,0.657
006428,FP,0.507884,7.045,0,0,1,0.613
006463,FP,0.558773,5.935,0,1,1,0.607
006484,FN,0.026988,29.598,1,0,0,0.552
006545,FP,0.488312,9.086,0,0,1,0.599
006572,FP,0.560939,9.354,1,0,1,0.647
006683,FN,0.14004,9.173,0,1,0,0.531
006750,FP,0.615784,10.92,1,0,1,0.647
006807,FP,0.361267,9.173,1,0,0,0.659
006991,FP,0.456342,6.579,0,1,2,0.602
007096,FP,0.733826,5.934,0,0,1,0.603
007241,FP,0.779939,14.211,0,0,0,0.536
007285,FP,0.431831,12.776,1,0,0,0.579
007338,FN,0.29759,20.09,2,0,0,0.615
007344,FP,0.417486,8.701,1,0,0,0.662
007375,FP,0.54649,9.421,1,3,0,0.657
007449,FP,0.490042,12.54,0,1,1,0.588
007474,FP,0.508803,15.0,0,3,0,0.615
