model,metric,value
baseline_kitti_logreg,tp,496
baseline_kitti_logreg,fp,70
baseline_kitti_logreg,fn,47
baseline_kitti_logreg,tn,884
baseline_kitti_logreg,precision,0.876
baseline_kitti_logreg,recall,0.913
baseline_kitti_logreg,f1,0.894
baseline_kitti_logreg,accuracy,0.922
baseline_kitti_logreg,false_positive_rate,0.073
baseline_kitti_logreg,false_negative_rate,0.087
baseline_kitti_logreg,roc_auc,0.977
baseline_kitti_logreg,pr_auc,0.961
baseline_kitti_logreg,threshold,0.38
baseline_kitti_logreg,num_examples,1497
baseline_kitti_logreg,avg_ms_per_scene,0.00017
baseline_kitti_logreg,fps_json_pipeline,5907654.3
proposed_reliability_logreg,tp,509
proposed_reliability_logreg,fp,66
proposed_reliability_logreg,fn,34
proposed_reliability_logreg,tn,888
proposed_reliability_logreg,precision,0.885
proposed_reliability_logreg,recall,0.937
proposed_reliability_logreg,f1,0.911
proposed_reliability_logreg,accuracy,0.933
proposed_reliability_logreg,false_positive_rate,0.069
proposed_reliability_logreg,false_negative_rate,0.063
proposed_reliability_logreg,roc_auc,0.981
proposed_reliability_logreg,pr_auc,0.97
proposed_reliability_logreg,threshold,0.35
proposed_reliability_logreg,num_examples,1497
proposed_reliability_logreg,avg_ms_per_scene,0.0002
proposed_reliability_logreg,fps_json_pipeline,5095302.5
ablation_without_3d_geometry,tp,472
ablation_without_3d_geometry,fp,64
ablation_without_3d_geometry,fn,71
ablation_without_3d_geometry,tn,890
ablation_without_3d_geometry,precision,0.881
ablation_without_3d_geometry,recall,0.869
ablation_without_3d_geometry,f1,0.875
ablation_without_3d_geometry,accuracy,0.91
ablation_without_3d_geometry,false_positive_rate,0.067
ablation_without_3d_geometry,false_negative_rate,0.131
ablation_without_3d_geometry,roc_auc,0.966
ablation_without_3d_geometry,pr_auc,0.943
ablation_without_3d_geometry,threshold,0.43
ablation_without_3d_geometry,num_examples,1497
ablation_without_3d_geometry,avg_ms_per_scene,0.00015
ablation_without_3d_geometry,fps_json_pipeline,6522875.8
